"City","date","pm25","pm10","Month","Day","Year","City_Year"
"Dnipro",2021-03-31,46,33,3,31,"2021","Dnipro - 2021"
"Dnipro",2021-03-30,68,19,3,30,"2021","Dnipro - 2021"
"Dnipro",2021-03-29,88,30,3,29,"2021","Dnipro - 2021"
"Dnipro",2021-03-28,63,41,3,28,"2021","Dnipro - 2021"
"Dnipro",2021-03-27,61,30,3,27,"2021","Dnipro - 2021"
"Dnipro",2021-03-26,83,31,3,26,"2021","Dnipro - 2021"
"Dnipro",2021-03-25,64,40,3,25,"2021","Dnipro - 2021"
"Dnipro",2021-03-24,52,30,3,24,"2021","Dnipro - 2021"
"Dnipro",2021-03-23,52,26,3,23,"2021","Dnipro - 2021"
"Dnipro",2021-03-22,61,23,3,22,"2021","Dnipro - 2021"
"Dnipro",2021-03-21,75,27,3,21,"2021","Dnipro - 2021"
"Dnipro",2021-03-20,64,47,3,20,"2021","Dnipro - 2021"
"Dnipro",2021-03-19,113,53,3,19,"2021","Dnipro - 2021"
"Dnipro",2021-03-18,79,69,3,18,"2021","Dnipro - 2021"
"Dnipro",2021-03-17,45,40,3,17,"2021","Dnipro - 2021"
"Dnipro",2021-03-16,50,25,3,16,"2021","Dnipro - 2021"
"Dnipro",2021-03-15,52,19,3,15,"2021","Dnipro - 2021"
"Dnipro",2021-03-14,66,23,3,14,"2021","Dnipro - 2021"
"Dnipro",2021-03-13,29,33,3,13,"2021","Dnipro - 2021"
"Dnipro",2021-03-12,42,15,3,12,"2021","Dnipro - 2021"
"Dnipro",2021-03-11,22,21,3,11,"2021","Dnipro - 2021"
"Dnipro",2021-03-10,28,10,3,10,"2021","Dnipro - 2021"
"Dnipro",2021-03-09,50,13,3,9,"2021","Dnipro - 2021"
"Dnipro",2021-03-08,46,21,3,8,"2021","Dnipro - 2021"
"Dnipro",2021-03-07,39,22,3,7,"2021","Dnipro - 2021"
"Dnipro",2021-03-06,97,19,3,6,"2021","Dnipro - 2021"
"Dnipro",2021-03-05,64,56,3,5,"2021","Dnipro - 2021"
"Dnipro",2021-03-04,38,32,3,4,"2021","Dnipro - 2021"
"Dnipro",2021-03-03,60,21,3,3,"2021","Dnipro - 2021"
"Dnipro",2021-03-02,52,28,3,2,"2021","Dnipro - 2021"
"Dnipro",2021-03-01,48,23,3,1,"2021","Dnipro - 2021"
"Dnipro",2022-03-31,58,23,3,31,"2022","Dnipro - 2022"
"Dnipro",2022-03-30,19,34,3,30,"2022","Dnipro - 2022"
"Dnipro",2022-03-29,12,13,3,29,"2022","Dnipro - 2022"
"Dnipro",2022-03-28,9,7,3,28,"2022","Dnipro - 2022"
"Dnipro",2022-03-27,40,5,3,27,"2022","Dnipro - 2022"
"Dnipro",2022-03-26,24,22,3,26,"2022","Dnipro - 2022"
"Dnipro",2022-03-25,40,14,3,25,"2022","Dnipro - 2022"
"Dnipro",2022-03-24,40,22,3,24,"2022","Dnipro - 2022"
"Dnipro",2022-03-23,12,22,3,23,"2022","Dnipro - 2022"
"Dnipro",2022-03-22,32,8,3,22,"2022","Dnipro - 2022"
"Dnipro",2022-03-21,23,17,3,21,"2022","Dnipro - 2022"
"Dnipro",2022-03-20,21,11,3,20,"2022","Dnipro - 2022"
"Dnipro",2022-03-19,18,10,3,19,"2022","Dnipro - 2022"
"Dnipro",2022-03-18,20,8,3,18,"2022","Dnipro - 2022"
"Dnipro",2022-03-17,14,10,3,17,"2022","Dnipro - 2022"
"Dnipro",2022-03-16,30,6,3,16,"2022","Dnipro - 2022"
"Dnipro",2022-03-15,34,14,3,15,"2022","Dnipro - 2022"
"Dnipro",2022-03-14,19,16,3,14,"2022","Dnipro - 2022"
"Dnipro",2022-03-13,12,10,3,13,"2022","Dnipro - 2022"
"Dnipro",2022-03-12,16,7,3,12,"2022","Dnipro - 2022"
"Dnipro",2022-03-11,20,8,3,11,"2022","Dnipro - 2022"
"Dnipro",2022-03-10,39,10,3,10,"2022","Dnipro - 2022"
"Dnipro",2022-03-09,25,19,3,9,"2022","Dnipro - 2022"
"Dnipro",2022-03-08,28,11,3,8,"2022","Dnipro - 2022"
"Dnipro",2022-03-07,20,13,3,7,"2022","Dnipro - 2022"
"Dnipro",2022-03-03,37,15,3,3,"2022","Dnipro - 2022"
"Dnipro",2022-03-02,37,18,3,2,"2022","Dnipro - 2022"
"Dnipro",2022-03-01,21,19,3,1,"2022","Dnipro - 2022"
